City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Egvekinot,RU,2020-10-05 18:49:23,66.32,-179.17,24.82,94,0,2.39
131,Hermanus,ZA,2020-10-05 18:45:19,-34.42,19.23,60.01,90,4,2.48
132,Fairbanks,US,2020-10-05 18:48:20,64.84,-147.72,39.0,86,1,0.96
133,Grants Pass,US,2020-10-05 18:49:23,42.44,-123.33,71.6,43,1,1.28
134,Buala,SB,2020-10-05 18:49:24,-8.14,159.59,79.9,78,1,4.52
135,Ulaanbaatar,MN,2020-10-05 18:49:24,47.91,106.88,23.0,79,0,1.63
136,Thompson,CA,2020-10-05 18:49:24,55.74,-97.86,50.0,93,90,11.41
137,Kindersley,CA,2020-10-05 18:46:24,51.47,-109.17,57.2,54,20,14.99
138,Terney,RU,2020-10-05 18:49:24,45.05,136.61,48.38,72,0,16.15
139,Tabas,IR,2020-10-05 18:49:24,33.6,56.92,77.0,23,33,2.24
140,Dobrinka,RU,2020-10-05 18:49:25,52.17,40.47,51.53,57,0,9.22
141,Faya,SA,2020-10-05 18:49:25,18.39,42.45,71.6,82,0,5.82
142,Mar Del Plata,AR,2020-10-05 18:47:28,-38.0,-57.56,51.8,81,75,8.05
143,Kahului,US,2020-10-05 18:49:25,20.89,-156.47,82.4,58,1,10.29
144,Nanortalik,GL,2020-10-05 18:47:15,60.14,-45.24,34.3,83,54,10.94
145,Tchaourou,BJ,2020-10-05 18:49:25,8.89,2.6,76.23,88,100,1.92
146,Marawi,PH,2020-10-05 18:49:25,8.0,124.29,73.0,96,5,5.99
147,Jermuk,AM,2020-10-05 18:49:25,39.84,45.67,40.96,81,100,5.75
148,Nong Bua,TH,2020-10-05 18:49:26,15.86,100.59,76.24,90,55,0.98
149,Atuona,PF,2020-10-05 18:49:26,-9.8,-139.03,77.61,79,2,18.39
150,Narsaq,GL,2020-10-05 18:49:26,60.92,-46.05,35.6,64,75,3.36
151,Upernavik,GL,2020-10-05 18:49:26,72.79,-56.15,25.75,90,18,4.5
152,Kaitangata,NZ,2020-10-05 18:49:26,-46.28,169.85,50.0,73,100,23.0
153,Fortuna,US,2020-10-05 18:48:03,40.6,-124.16,59.0,87,1,3.36
154,Yar-Sale,RU,2020-10-05 18:49:26,66.83,70.83,31.5,94,61,11.3
155,Lovozero,RU,2020-10-05 18:49:26,68.0,35.01,36.63,91,0,0.63
156,Dingle,PH,2020-10-05 18:49:27,11.0,122.67,76.62,89,25,0.92
157,Cayenne,GF,2020-10-05 18:46:05,4.93,-52.33,80.6,74,40,3.36
158,Luderitz,NA,2020-10-05 18:49:27,-26.65,15.16,60.46,69,0,18.28
159,Sao Filipe,CV,2020-10-05 18:47:24,14.9,-24.5,78.21,66,4,6.55
160,Cukai,MY,2020-10-05 18:49:27,4.25,103.42,75.2,100,100,7.36
161,Fairmount,US,2020-10-05 18:49:27,43.05,-76.24,60.8,63,90,9.17
162,Tilichiki,RU,2020-10-05 18:49:28,60.47,166.1,31.75,95,100,13.76
163,Ulladulla,AU,2020-10-05 18:45:50,-35.35,150.47,57.99,93,90,9.17
164,Roslavl,RU,2020-10-05 18:49:28,53.95,32.86,55.04,44,61,11.54
165,Mago,RU,2020-10-05 18:49:28,53.25,140.18,42.4,86,100,10.25
166,Norman Wells,CA,2020-10-05 18:49:28,65.28,-126.83,42.8,81,75,2.24
167,Bathsheba,BB,2020-10-05 18:49:28,13.22,-59.52,86.0,70,40,11.41
168,Cabo San Lucas,MX,2020-10-05 18:47:45,22.89,-109.91,88.0,55,5,9.17
169,Nalvo,PH,2020-10-05 18:49:28,16.81,120.51,73.17,80,96,3.96
170,Tateyama,JP,2020-10-05 18:49:28,34.98,139.87,70.0,53,93,5.99
171,Pisco,PE,2020-10-05 18:49:29,-13.7,-76.22,66.2,72,40,11.41
172,Airai,TL,2020-10-05 18:49:29,-8.93,125.41,58.35,92,23,1.57
173,Machachi,EC,2020-10-05 18:49:29,-0.5,-78.57,75.2,58,75,12.75
174,Khandagayty,RU,2020-10-05 18:49:29,50.73,92.05,33.31,89,88,1.5
175,Hamilton,US,2020-10-05 18:49:17,39.18,-84.53,63.0,44,1,5.82
176,College,US,2020-10-05 18:49:29,64.86,-147.8,39.0,74,75,0.76
177,Nome,US,2020-10-05 18:46:32,64.5,-165.41,37.99,74,75,10.29
178,Cap Malheureux,MU,2020-10-05 18:49:29,-19.98,57.61,72.0,80,100,5.01
179,Maple Creek,CA,2020-10-05 18:49:29,49.92,-109.48,64.63,37,0,11.43
180,Faanui,PF,2020-10-05 18:49:30,-16.48,-151.75,77.72,79,100,14.07
181,Yulara,AU,2020-10-05 18:47:26,-25.24,130.99,51.8,81,90,5.82
182,Labuhan,ID,2020-10-05 18:47:48,-6.88,112.21,78.01,78,100,11.27
183,Devils Lake,US,2020-10-05 18:45:09,48.11,-98.87,66.2,55,40,24.16
184,Nemuro,JP,2020-10-05 18:45:05,43.32,145.57,57.72,71,24,25.97
185,Clyde River,CA,2020-10-05 18:47:03,70.47,-68.59,26.6,100,40,2.24
186,Port Elizabeth,ZA,2020-10-05 18:49:30,-33.92,25.57,60.8,93,90,17.22
187,Vila Franca Do Campo,PT,2020-10-05 18:47:53,37.72,-25.43,69.8,73,40,5.82
188,Harbour Breton,CA,2020-10-05 18:49:31,47.48,-55.8,54.0,100,100,1.99
189,Gouyave,GD,2020-10-05 18:49:31,12.16,-61.73,87.8,70,20,17.22
190,Weifang,CN,2020-10-05 18:49:31,36.71,119.1,49.91,47,0,3.78
191,Norton Shores,US,2020-10-05 18:47:14,43.17,-86.26,59.0,44,20,16.11
192,Samaniego,CO,2020-10-05 18:49:31,1.34,-77.6,60.8,51,75,13.87
193,Barcelos,PT,2020-10-05 18:48:08,41.54,-8.62,60.8,100,90,11.41
194,Antsohihy,MG,2020-10-05 18:49:31,-14.88,47.99,73.81,91,83,1.61
195,Kalianget,ID,2020-10-05 18:49:31,-7.05,113.93,80.42,73,98,7.9
196,Chazuta,PE,2020-10-05 18:49:32,-6.57,-76.14,87.8,58,40,3.36
197,Udachnyy,RU,2020-10-05 18:49:32,66.42,112.4,35.6,93,90,8.95
198,Pochutla,MX,2020-10-05 18:49:32,15.74,-96.47,88.0,74,90,8.05
199,Talagang,PK,2020-10-05 18:49:32,32.93,72.42,74.89,28,0,2.04
200,Steamboat Springs,US,2020-10-05 18:48:26,40.48,-106.83,71.01,14,1,13.87
201,Kloulklubed,PW,2020-10-05 18:49:32,7.04,134.26,78.8,94,90,5.82
202,Morondava,MG,2020-10-05 18:49:33,-20.28,44.28,75.61,76,0,10.09
203,Tanout,NE,2020-10-05 18:49:33,14.97,8.89,97.77,16,78,10.27
204,Timra,SE,2020-10-05 18:49:33,62.49,17.33,54.0,93,75,3.36
205,Pringsewu,ID,2020-10-05 18:49:33,-5.36,104.97,74.75,87,100,6.15
206,Karpathos,GR,2020-10-05 18:49:33,35.51,27.21,79.12,59,0,2.33
207,Aqtobe,KZ,2020-10-05 18:49:33,50.28,57.21,30.2,50,0,4.47
208,Ati,TD,2020-10-05 18:49:33,13.22,18.34,93.6,31,0,4.36
209,Alofi,NU,2020-10-05 18:49:34,-19.06,-169.92,75.2,88,75,12.75
210,Bethel,US,2020-10-05 18:49:34,41.37,-73.41,64.4,55,20,6.93
211,Te Anau,NZ,2020-10-05 18:49:34,-45.42,167.72,49.8,90,100,3.06
212,Colares,PT,2020-10-05 18:49:34,38.8,-9.45,66.99,82,40,6.93
213,Cap-Aux-Meules,CA,2020-10-05 18:49:34,47.38,-61.86,55.4,54,20,9.17
214,Magadan,RU,2020-10-05 18:49:34,59.57,150.8,38.39,77,0,10.27
215,Maltahohe,NA,2020-10-05 18:49:34,-24.83,16.98,66.58,25,99,15.9
216,Karratha,AU,2020-10-05 18:49:35,-20.74,116.85,60.57,30,0,17.78
217,Nantucket,US,2020-10-05 18:45:50,41.28,-70.1,59.0,82,20,16.11
218,Breyten,ZA,2020-10-05 18:49:35,-26.3,29.99,56.89,92,100,7.72
219,Lakeside,US,2020-10-05 18:49:35,30.13,-81.77,73.4,88,90,11.41
220,Paveh,IR,2020-10-05 18:49:35,35.04,46.36,51.39,59,0,1.07
221,Ballina,AU,2020-10-05 18:49:35,-28.87,153.57,57.99,93,1,4.29
222,San Patricio,MX,2020-10-05 18:49:35,19.22,-104.7,89.6,66,5,5.82
223,Vardo,NO,2020-10-05 18:49:35,70.37,31.11,42.8,100,90,9.17
224,Bambous Virieux,MU,2020-10-05 18:47:00,-20.34,57.76,71.6,88,90,5.82
225,Nakamura,JP,2020-10-05 18:49:36,32.98,132.93,54.5,72,0,3.76
226,Abay,KZ,2020-10-05 18:49:36,49.63,72.85,24.8,79,75,11.18
227,Sabratah,LY,2020-10-05 18:49:36,32.79,12.49,88.23,40,100,9.04
228,Saldanha,ZA,2020-10-05 18:49:36,-33.01,17.94,59.0,82,0,10.29
229,Anakapalle,IN,2020-10-05 18:49:36,17.68,83.02,82.4,94,75,2.24
230,Northam,GB,2020-10-05 18:49:36,51.03,-4.22,55.99,89,92,11.99
231,Birin,NP,2020-10-05 18:49:37,26.89,88.07,77.0,94,75,3.22
232,Lavrentiya,RU,2020-10-05 18:49:37,65.58,-171.0,33.1,90,0,8.97
233,Ponta Do Sol,PT,2020-10-05 18:47:15,32.67,-17.1,71.6,64,40,16.11
234,Sakete,BJ,2020-10-05 18:49:37,6.74,2.66,80.6,83,40,11.41
235,Kapit,MY,2020-10-05 18:49:37,2.02,112.93,74.05,95,100,0.67
236,Tautira,PF,2020-10-05 18:48:04,-17.73,-149.15,78.8,69,75,4.7
237,Ukiah,US,2020-10-05 18:45:20,39.15,-123.21,84.0,31,1,3.36
238,Roald,NO,2020-10-05 18:49:38,62.58,6.13,53.01,93,20,3.36
239,Victoria,HK,2020-10-05 18:47:16,22.29,114.16,80.01,87,100,1.01
240,Fredericton,CA,2020-10-05 18:44:59,45.95,-66.67,62.6,48,40,2.55
241,Santa Isabel,BR,2020-10-05 18:49:38,-23.32,-46.22,96.8,23,53,11.41
242,Castro,BR,2020-10-05 18:49:18,-24.79,-50.01,87.57,38,59,7.25
243,Peniche,PT,2020-10-05 18:49:39,39.36,-9.38,64.0,88,100,7.0
244,Pandan,PH,2020-10-05 18:49:39,14.05,124.17,80.76,83,98,1.68
245,Toktogul,KG,2020-10-05 18:49:39,41.87,72.94,54.05,40,97,0.81
246,Diffa,NE,2020-10-05 18:49:39,13.32,12.61,92.5,30,0,4.23
247,Birao,CF,2020-10-05 18:47:59,10.28,22.79,78.76,64,0,3.87
248,Qurayyat,SA,2020-10-05 18:49:39,31.33,37.34,78.8,26,0,2.24
249,Uruana,BR,2020-10-05 18:49:39,-15.5,-49.69,103.96,8,0,10.47
250,Vaitape,PF,2020-10-05 18:49:40,-16.52,-151.75,78.6,77,100,13.98
251,Pacifica,US,2020-10-05 18:49:40,37.61,-122.49,73.0,87,20,3.36
252,Misratah,LY,2020-10-05 18:49:40,32.38,15.09,91.99,24,93,6.38
253,Gizo,SB,2020-10-05 18:49:40,-8.1,156.84,81.75,73,39,4.25
254,Bridgewater,CA,2020-10-05 18:49:40,44.38,-64.52,60.01,85,99,1.01
255,Vila,PT,2020-10-05 18:49:40,42.03,-8.16,57.0,95,100,7.0
256,Sorland,NO,2020-10-05 18:49:41,67.67,12.69,53.6,87,100,6.93
257,Mindelo,CV,2020-10-05 18:49:41,16.89,-24.98,84.2,58,40,16.11
258,Mlonggo,ID,2020-10-05 18:49:41,-6.53,110.7,78.04,75,99,11.39
259,Herat,AF,2020-10-05 18:49:41,34.5,62.0,62.6,23,0,2.24
