City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Pamanukan,ID,79.68,broken clouds,-6.28,107.81,Paris Day Hotel Pamanukan
627,Kaset Sombun,TH,76.91,light rain,16.28,101.95,อาณาจักร มิน' กะล่อน.
631,Rosarito,MX,87.8,broken clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
635,Lucea,JM,84.2,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
640,Omboue,GA,78.15,overcast clouds,-1.57,9.26,Hotel Olako
641,Galle,LK,79.95,heavy intensity rain,6.04,80.22,Amangalla
642,Bang Saphan,TH,76.93,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
643,Ambanja,MG,75.51,moderate rain,-13.68,48.45,Hotel Marrakech
653,Banda Aceh,ID,78.73,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
654,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
656,Mahibadhoo,MV,82.45,overcast clouds,3.78,72.97,Omadhoo Inn
657,Cukai,MY,80.6,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
664,Jibuti,DJ,89.6,clear sky,11.5,42.5,Orchid Main Camp Goubet
665,Nagapattinam,IN,83.16,light rain,10.77,79.83,MGM Vailankanni
667,Gabu,GW,83.91,broken clouds,12.28,-14.22,Hotel karsa
670,Quang Ngai,VN,77.43,moderate rain,15.12,108.8,Central Hotel
671,Buala,SB,78.98,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
675,Sabha,LY,87.17,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
676,Tambacounda,SN,87.76,overcast clouds,13.75,-13.76,
681,Gusau,NG,87.84,broken clouds,12.16,6.66,Dr. Salisu Ibrahim
687,Syracuse,IT,75.2,broken clouds,37.09,15.28,Hotel Posta
691,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
700,Salvador,SV,86.0,few clouds,13.83,-88.92,Chico's Ranch
702,San Andres,CO,78.8,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
705,Mahenge,TZ,75.07,scattered clouds,-8.68,36.72,Mkondosii Guest House
706,Zaraza,VE,84.49,moderate rain,9.35,-65.32,Hotel Zaraza
707,Corona,US,86.0,haze,33.88,-117.57,Holiday Inn Express & Suites Corona
710,Pecos,US,80.6,clear sky,31.42,-103.49,Knights Inn Pecos
