City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Chuy,UY,-33.7,-53.46,61.63,69,55,10.45,broken clouds
148,Salair,RU,54.23,85.8,30.87,92,98,12.3,overcast clouds
149,Mount Gambier,AU,-37.83,140.77,37.4,93,20,3.85,few clouds
150,Namibe,AO,-15.2,12.15,64.9,78,9,6.51,clear sky
151,Pietarsaari,FI,63.65,22.68,55.99,87,90,11.41,overcast clouds
152,Bluff,NZ,-46.6,168.33,46.99,91,98,11.99,overcast clouds
153,Satara,IN,17.68,73.98,69.93,88,6,3.69,clear sky
154,Luganville,VU,-15.53,167.17,76.08,84,18,8.46,light rain
155,Arraial Do Cabo,BR,-22.97,-42.03,89.6,55,14,6.93,few clouds
156,Chokurdakh,RU,70.63,147.92,26.91,87,86,12.15,overcast clouds
157,Jawar,IN,23.0,76.5,70.5,42,48,3.89,scattered clouds
158,Santa Maria,BR,-29.68,-53.81,72.41,50,1,6.15,clear sky
159,Sitka,US,57.05,-135.33,48.2,93,90,8.05,overcast clouds
160,Hambantota,LK,6.12,81.12,80.58,81,43,18.25,moderate rain
161,Katsuura,JP,35.13,140.3,66.2,63,40,12.75,scattered clouds
162,Clyde River,CA,70.47,-68.59,32.0,96,75,13.87,broken clouds
163,Alice Springs,AU,-23.7,133.88,53.6,100,90,6.93,overcast clouds
164,Chuguyevka,RU,44.17,133.86,39.0,90,51,2.53,broken clouds
165,Pangnirtung,CA,66.15,-65.71,37.4,55,90,26.4,"sand,dust whirls"
166,Pisco,PE,-13.7,-76.22,66.2,72,1,12.75,clear sky
167,Pinega,RU,64.7,43.39,42.67,87,100,4.36,overcast clouds
168,Bayevo,RU,53.28,80.77,35.67,77,85,15.99,overcast clouds
169,Taoudenni,ML,22.68,-3.98,101.1,14,18,9.13,few clouds
170,Airai,TL,-8.93,125.41,61.03,100,64,1.5,light rain
171,Thompson,CA,55.74,-97.86,33.8,74,90,5.82,overcast clouds
172,Carnarvon,AU,-24.87,113.63,59.0,62,0,9.17,clear sky
173,Elizabeth City,US,36.29,-76.25,75.2,44,1,6.93,clear sky
174,Iqaluit,CA,63.75,-68.51,33.8,98,90,27.51,light snow
175,Touros,BR,-5.2,-35.46,86.0,58,40,16.11,scattered clouds
176,Barahona,DO,18.21,-71.1,87.8,66,20,16.11,few clouds
177,Chaozhou,CN,23.67,116.64,75.2,73,90,4.47,overcast clouds
178,Palana,RU,59.12,159.97,39.0,90,100,26.73,overcast clouds
179,Faya,SA,18.39,42.45,75.2,11,1,11.41,clear sky
180,Tucuman,AR,-26.82,-65.22,78.8,36,0,4.7,clear sky
181,Mehamn,NO,71.04,27.85,44.6,81,40,17.22,scattered clouds
182,Mar Del Plata,AR,-38.0,-57.56,62.6,59,40,14.99,scattered clouds
183,Port Blair,IN,11.67,92.75,81.03,82,17,8.01,moderate rain
184,Athabasca,CA,54.72,-113.29,55.63,41,52,18.54,broken clouds
